latitude,longitude,dataset_type,gcc_objectid,gcc_zone,gcc_ward,gcc_location,nearest_drain_distance_km,drain_width_m,drain_depth_m,drain_length_km,drain_type,water_flow,drain_status,drain_size_raw,drain_width_raw,drain_depth_raw,drain_length_raw_m,drain_width_source,drain_depth_source,drain_length_source,geometry_length_m,distance_to_drain_m
13.045,80.105,BACKGROUND,3216,N11,150,"Porur, Chennai",3.147053,0.6,0.6,0.393101,SWD,YES,GOOD,0.6 x 0.6,0.6,0.6,393.100815164,drain_size,drain_size,drain_len,393.101,3147.053
13.045,80.165,BACKGROUND,2633,N11,147,"Maduravoyal, Chennai",0.011707,1.27,1.27,0.83068,SWD,YES,GOOD,1.27 x 1.27,1.27,1.27,830.679766934,drain_size,drain_size,drain_len,830.68,11.707
13.045,80.275,BACKGROUND,1148,N09,121,"Pattinapakkam, Chennai",0.069403,0.9,0.9,0.30333,SWD,YES,GOOD,0.9 x 0.9,0.9,0.9,303.330096416,drain_size,drain_size,drain_len,303.33,69.403
13.045,80.34,BACKGROUND,1131,N09,120,"Salegramam, Chennai",6.486035,1.5,1.5,0.16602,SWD,YES,GOOD,1.50 x 1.50,1.5,1.5,166.020405663,drain_size,drain_size,drain_len,166.02,6486.035
13.05,80.145,BACKGROUND,3160,N11,150,"Porur, Chennai",0.181071,0.6,0.6,0.043538,SWD,YES,GOOD,0.6 x 0.6,0.6,0.6,43.5382237123,drain_size,drain_size,drain_len,43.538,181.071
13.05,80.205,BACKGROUND,1677,N10,129,"Vadapalani, Chennai",0.133149,1.44,1.44,1.036224,SWD,YES,GOOD,1.44 x 1.44,1.44,1.44,1036.22427212,drain_size,drain_size,drain_len,1036.224,133.149
13.05,80.305,BACKGROUND,1131,N09,120,"Salegramam, Chennai",2.665518,1.5,1.5,0.16602,SWD,YES,GOOD,1.50 x 1.50,1.5,1.5,166.020405663,drain_size,drain_size,drain_len,166.02,2665.518
13.055,80.115,BACKGROUND,3216,N11,150,"Porur, Chennai",2.286933,0.6,0.6,0.393101,SWD,YES,GOOD,0.6 x 0.6,0.6,0.6,393.100815164,drain_size,drain_size,drain_len,393.101,2286.933
13.055,80.175,BACKGROUND,2432,N11,144,"Koyambedu, Chennai",0.13216,0.82,0.82,0.212403,SWD,YES,GOOD,0.82 x 0.82,0.82,0.82,212.40349916,drain_size,drain_size,drain_len,212.404,132.16
13.055,80.27,BACKGROUND,925,N09,115,"Royapettai, Chennai",0.025051,0.75,0.75,0.234673,SWD,YES,GOOD,0.75 x 0.75,0.75,0.75,234.672737367,drain_size,drain_size,drain_len,234.673,25.051
